id,gender,articleType,baseColour,season,usage,productDisplayName,link
290,Women,Tshirts,Pink,Summer,Casual,Urban Yoga Women Printed Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg
291,Men,Trunk,Charcoal,Summer,Casual,Chromozome Men Charcoal Trunk Trunks,http://assets.myntassets.com/v1/images/style/properties/cbcfe2066b676f7852c6282f85dfc43b_images.jpg
292,Boys,Shirts,Blue,Summer,Casual,Palm Tree Boys Check Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
293,Women,Lipstick,Pink,Spring,,Lakme Absolute Lip Last Day Kiss Lip Colour,http://assets.myntassets.com/assets/images/55001/2018/3/9/11520591701090-Lakme-Absolute-Lip-Last-Day-Kiss-Lip-Colour-9831520591701048-1.jpg
294,Men,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/f3dc8c5e7e7d7394150506a3f2f417c0_images.jpg
295,Women,Handbags,White,Winter,Casual,Murcia Women White With Stitch Bag,http://assets.myntassets.com/v1/images/style/properties/61d4d060e05c3e4ff1771c5e724d6c16_images.jpg
296,Men,Watches,Black,Winter,Casual,Fastrack Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/20e55321f145a292edb4cc9776ea1985_images.jpg
297,Men,Tshirts,White,Fall,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg
298,Women,Bra,Purple,Summer,Casual,Lovable Women Fiona Purple Bra,http://assets.myntassets.com/v1/images/style/properties/Lovable-Women-Fiona-Purple-Bra_82e37d2949af0a30ff61f6f7fc80cadc_images.jpg
299,Women,Lounge Pants,Blue,Winter,Casual,Jockey Women Blue Lounge Pants,http://assets.myntassets.com/assets/images/27421/2015/11/23/11448283185049-Jockey-Women-Blue-Lounge-Pants-3621448283184622-1.jpg
300,Women,Face Wash and Cleanser,Green,Spring,Casual,Lotus Herbals Neem & Clove Purifying Face Wash,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-Neem---Clove-Purifying-Face-Wash_576266f24033ada1522c55008afacea9_images.jpg
301,Women,Tops,Magenta,Summer,Casual,Sepia Women Printed Magenta Top,http://assets.myntassets.com/v1/images/style/properties/cd2a1ae491facf0acf36443998a0c217_images.jpg
302,Women,Tops,Olive,Summer,Casual,Arrow Woman Olive Top,http://assets.myntassets.com/v1/images/style/properties/3d8b78b013627f7e9d738ccec2972480_images.jpg
303,Men,Innerwear Vests,Grey,Summer,Casual,Levis Men Grey Innerwear T-Shirt,http://assets.myntassets.com/v1/images/style/properties/adc3a5566f4c3e9f3f729ab6f9e44c56_images.jpg
304,Men,Shirts,Black,Fall,Casual,Scullers Men Price Catch Black Shirts,http://assets.myntassets.com/v1/images/style/properties/62f33289f2a1cbc88d6f8557a2c33638_images.jpg
305,Women,Sarees,Beige,Fall,Ethnic,Fabindia Beige & Maroon Mull Printed Saree,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Printed-Beige-Sari_b2b862ad19c18dc983c5cf843fe56bcc_images.jpg
306,Women,Dresses,White,Summer,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,http://assets.myntassets.com/v1/images/style/properties/e7559ae62df37abf5338b7992aa8c628_images.jpg
307,Men,Tshirts,Blue,Summer,Casual,Indian Terrain Men Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/f202fe30bd9441e163b7fbcfcb53e8c2_images.jpg
308,Women,Heels,Black,Summer,Casual,Enroute Women Casual Black Flats,http://assets.myntassets.com/v1/images/style/properties/33fe789a39b0590d649cd052e53b80b6_images.jpg
309,Women,Handbags,Brown,Winter,Casual,Baggit Women Umbrella Dum Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/3c67058064553299e3cb62b79fedd1af_images.jpg
310,Women,Necklace and Chains,Silver,Summer,Casual,Lencia Grey Swarovski Pearl Necklace,http://assets.myntassets.com/v1/images/style/properties/Lencia-Grey-Swarovski-Pearl-Necklace_8dca921b0f3b46449bbd5bb25f6f3dbb_images.jpg
311,Women,Watches,Red,Winter,Casual,CASIO SHEEN Women Red Dial Watch SX017,http://assets.myntassets.com/v1/image/style/properties/45293/Casio-Women-Red-Dial-Watch_1_cc32a942220788a0b74c5708baff1e74.jpg
312,Men,Watches,Black,Winter,Casual,Maxima Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/c2f94914c3151fa88bc00b924c9bea22_images.jpg
313,Women,Kurtas,Cream,Summer,Ethnic,Mother Earth Women Printed Cream Kurta,http://assets.myntassets.com/v1/images/style/properties/051884f22b637d9cf40922baecd8ff20_images.jpg
314,Women,Handbags,Orange,Winter,Casual,Lino Perros Women Leatherite Orange Handbag,http://assets.myntassets.com/v1/images/style/properties/460dd2adbff063cc226b7146a811e7dc_images.jpg
315,Men,Shirts,Black,Fall,Casual,United Colors Of Benetton Men Summer Black Shirts,http://assets.myntassets.com/v1/images/style/properties/79e693b484848f12265b4dd4a155fae9_images.jpg
316,Women,Tops,White,Summer,Casual,Wrangler Women White Smocked Top,http://assets.myntassets.com/v1/images/style/properties/907aca262d340d45f49d7d3690fdc953_images.jpg
317,Men,Socks,Grey,Summer,Casual,United Colors of Benetton Men Pack of 2 Grey Socks,http://assets.myntassets.com/v1/images/style/properties/a82a928bfbfba2e299574580ffa61dc9_images.jpg
318,Women,Watches,White,Winter,Casual,Esprit Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/8fa9232495f9cad5e31338c61f615afb_images.jpg
319,Unisex,Duffel Bag,Red,Winter,Casual,Wildcraft Unisex Red Duffle Bag,http://assets.myntassets.com/v1/images/style/properties/8ee197c54df34d4e59d56d847139fe49_images.jpg
320,Women,Perfume and Body Mist,Pink,Spring,Casual,Nike Fragrances Women Trendy Perfume 75ml,http://assets.myntassets.com/v1/images/style/properties/2688bbbcf35b0e739e7d9e5039fd6cbf_images.jpg
321,Women,Perfume and Body Mist,Pink,Spring,Casual,J.Del Pozo Halloween Kiss Sexy Women Perfume,http://assets.myntassets.com/v1/images/style/properties/4a0b8e5cd5f8b9fe8287301280ee204a_images.jpg
322,Men,Tshirts,Grey,Summer,Casual,Wrangler Cowboy Photo T-shirt,http://assets.myntassets.com/v1/images/style/properties/dc7e36dcafbb8aeb71dc2ebbd4427ca7_images.jpg
323,Unisex,Sunglasses,Brown,Winter,Casual,Van Heusen Unisex Brown Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Van-Heusen-Unisex-Brown-Sunglasses_2099ffb4f8eb9fd28b80922f653aa42a_images.jpg
324,Men,Formal Shoes,Black,Fall,Formal,Enroute Men Leather Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/1e1ddab59626e99f7163c2c8c20743b6_images.jpg
325,Men,Sports Sandals,Navy Blue,Summer,Casual,Reebok Men Navy Twist Sandals,http://assets.myntassets.com/v1/images/style/properties/Reebok-Men-Blue-Twist-Sandals_9d151773708628e8efa686c33561b54a_images.jpg
326,Men,Tshirts,Pink,Summer,Casual,Basics Men Pack of 3 T-shirt,http://assets.myntassets.com/v1/images/style/properties/b5fe34a5c5a88054357f33b0d2b4ce46_images.jpg
327,Unisex,Backpacks,Black,Winter,Casual,Wildcraft Unisex Black Outdoor Backpack,http://assets.myntassets.com/v1/images/style/properties/d0e782df1a7287eb68da5806346605db_images.jpg
328,Men,Tshirts,Blue,Summer,Sports,Nike Men's As Icon Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/4642a9cf2604998cd7665a76a2bf87c1_images.jpg
329,Men,Deodorant,Grey,Spring,Casual,Rasasi Men Emotion Deo and Perfume Set,http://assets.myntassets.com/v1/images/style/properties/Rasasi-Men-Emotion-Deo-and-Perfume-Set_f2bcc95e69a60ac6b5473ca68bcc5563_images.jpg
330,Men,Track Pants,Navy Blue,Fall,Casual,Proline Men Navy Track Pants,http://assets.myntassets.com/v1/images/style/properties/15324570d805103032f3a593d495aafe_images.jpg
331,Women,Wallets,Orange,Winter,Casual,Lino Perros Women Blue Zip Orange Wallet,http://assets.myntassets.com/v1/images/style/properties/9cad6be03b1e0b544055e140b526cb94_images.jpg
332,Men,Casual Shoes,Black,Winter,Casual,Red Chief Men Black Shoes,http://assets.myntassets.com/v1/images/style/properties/2dba90668d61bd7dd5e25a02d7612ee3_images.jpg
333,Women,Foundation and Primer,Skin,Summer,Casual,Lakme Nine to Five Flawless Makeup Shell Foundation,http://assets.myntassets.com/assets/images/55233/2018/5/3/11525323433330-Lakme-Nine-to-Five-Flawless-Makeup-Shell-Foundation-7251525323433284-1.jpg
334,Men,Tshirts,Red,Summer,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,http://assets.myntassets.com/v1/images/style/properties/6723c5b48a019f7940ac913e35240620_images.jpg
335,Women,Sports Shoes,Charcoal,Summer,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/ec28a6e80636805d0bf993699b656c88_images.jpg
336,Men,Sunglasses,Black,Winter,Casual,Ray-Ban Men Active Lifestyle Black Sunglasses,http://assets.myntassets.com/v1/images/style/properties/f8b19ba970bf91df7f4c1e263faa331c_images.jpg
337,Men,Shirts,Blue,Fall,Casual,John Miller Men Stripes Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/5f2cc2a725967d426cc03f4a3fbb93c1_images.jpg
338,Boys,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/39873daedc5a92eef39894b612f5cbaf_images.jpg
339,Women,Tunics,Red,Summer,Casual,109F Women Red & White Striped Tunic,http://assets.myntassets.com/v1/images/style/properties/279197619f868018854ce9bf9b812b87_images.jpg
340,Men,Jeans,Blue,Fall,Casual,Locomotive Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/6cb6a14583b044dca0a0bd9efc2fc4c7_images.jpg
341,Men,Flip Flops,Blue,Fall,Casual,Puma Men Danny Blue Slipper,http://assets.myntassets.com/v1/images/style/properties/b5df5f57f0feda7a42510b6ebedf4f4d_images.jpg
342,Men,Sweaters,Blue,Summer,Casual,United Colors of Benetton Men Solid Blue Sweater,http://assets.myntassets.com/v1/images/style/properties/339f3148805bd725b88cebe54fd52d45_images.jpg
343,Men,Tshirts,White,Fall,Sports,Puma Men's Large Logo Graphic White French T-shirt,http://assets.myntassets.com/v1/images/style/properties/7f50a98d2319c37ba993f4bd39ec1df9_images.jpg
344,Men,Watches,Black,Winter,Casual,Fastrack Men New Analog Black Navy Watch,http://assets.myntassets.com/v1/images/style/properties/971d32f5f437a3e65d852648dd6bbdad_images.jpg
345,Men,Socks,Black,Summer,Casual,Calzini Men Pack of 5 Sports Socks,http://assets.myntassets.com/v1/images/style/properties/Calzini-Men-Pack-of-5-Sports-Socks_3056952ffdf96eaba3df0c68140a951b_images.jpg
346,Women,Kurta Sets,Purple,Fall,Ethnic,Aneri Women Purple Salwar Suit,http://assets.myntassets.com/v1/images/style/properties/Aneri-Women-Blue-Salwar-Suit_310b83bb9b3c42c1b2a9a0b63e612c78_images.jpg
347,Women,Perfume and Body Mist,Purple,Spring,Casual,Bulgari Women Omnia Perfume,http://assets.myntassets.com/v1/images/style/properties/f98d1337a330597f69db87bdcbe2c3f7_images.jpg
348,Women,Trousers,Brown,Summer,Casual,Elle Women Brown Trousers,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Brown-Trousers_a7f66d28a9214c62dc8073fa66146018_images.jpg
349,Men,Casual Shoes,Black,Fall,Casual,United Colors of Benetton Men Casual Black Shoes,http://assets.myntassets.com/v1/images/style/properties/fc4d12bcdc99ec17c6cbff23ce164f00_images.jpg
350,Men,Sandals,Black,Summer,Casual,Estd. 1977 Men Black Sandals,http://assets.myntassets.com/v1/images/style/properties/b996cb05ae7c16cabfa4cadc23818247_images.jpg
